epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.113,2.48494,1.36042,0.57694,3.40526,2.38087,0.3931,0.52,0.42176,0.13884,0.82256,0.44,0.65628,0.40548,2.55225,1.69797,0.38443,2.18896,2.52096,0.000657143,0.000657143,0.000657143
2,975.635,2.17042,0.81948,0.37619,2.16293,2.10694,0.42474,0.36,0.3,0.08998,0.62246,0.52787,0.61743,0.51985,2.43733,1.04482,0.07416,2.20981,2.38668,0.00132349,0.00132349,0.00132349
3,1453.12,2.13513,0.65201,0.34986,2.06084,2.04739,0.47406,0.43292,0.42041,0.15029,0.39209,0.68,0.57096,0.50722,2.36011,1.03214,0.08121,2.46746,2.30367,0.00198853,0.00198853,0.00198853
4,1960,2.10967,0.55089,0.32935,2.03092,2.03258,0.38663,0.64,0.4228,0.13599,0.44639,0.76,0.60969,0.5419,2.272,0.671,0.05981,2.52232,2.26919,0.00199561,0.00199561,0.00199561
5,2485.38,2.02302,0.55253,0.31874,1.90548,1.94304,0.3731,0.56,0.39407,0.15865,0.61172,0.44,0.55873,0.48313,2.27133,0.79172,0.12832,1.98112,2.24714,0.00199219,0.00199219,0.00199219
6,2989.63,1.96967,0.44717,0.29071,1.81114,1.89054,0.84215,0.4275,0.61384,0.25618,0.72281,0.5216,0.70436,0.60232,1.97799,0.68843,0.05263,1.74847,1.93377,0.00198781,0.00198781,0.00198781
7,4528.23,1.95193,0.46618,0.28944,1.79523,1.86329,0.56756,0.52,0.53267,0.18112,0.69302,0.7225,0.80076,0.74242,2.28108,0.62388,0.03891,1.9279,2.2954,0.00198246,0.00198246,0.00198246
8,5027.71,1.89734,0.41108,0.26613,1.71637,1.86872,0.73453,0.64,0.65543,0.2363,0.88439,0.76,0.86976,0.81654,2.1742,0.46647,0.03975,1.5499,2.13139,0.00197616,0.00197616,0.00197616
9,5539.93,1.89825,0.42501,0.25527,1.67996,1.83679,0.52393,0.44,0.47064,0.15656,0.64531,0.80052,0.81236,0.65338,2.15464,0.67204,0.03176,2.2546,2.10999,0.0019689,0.0019689,0.0019689
10,6064.46,1.83324,0.37567,0.25501,1.59644,1.75794,0.76106,0.68,0.70186,0.26408,0.85193,0.69083,0.84662,0.79256,2.15987,0.45893,0.04784,1.5412,2.04493,0.00196069,0.00196069,0.00196069
11,6608.82,1.83467,0.34738,0.22272,1.56591,1.77492,0.75806,0.76,0.78288,0.29165,0.91239,0.83338,0.9252,0.88472,2.02595,0.37051,0.04644,1.38875,1.88963,0.00195155,0.00195155,0.00195155
12,7110.29,1.8078,0.33319,0.21512,1.55043,1.73599,0.78059,0.76,0.78921,0.31597,0.84673,0.84,0.89907,0.87053,2.00327,0.33804,0.01993,1.36779,1.93802,0.00194147,0.00194147,0.00194147
13,7588.95,1.80671,0.32925,0.21383,1.48509,1.72866,0.6809,0.68291,0.65526,0.28362,0.79199,0.91397,0.93535,0.88321,2.0836,0.35077,0.043,1.63223,2.01549,0.00193048,0.00193048,0.00193048
14,8074.12,1.78051,0.33113,0.21301,1.49169,1.71544,0.75442,0.61484,0.74794,0.27384,0.74323,0.8,0.89704,0.84746,1.96154,0.39062,0.05001,1.58276,2.00632,0.00191858,0.00191858,0.00191858
15,8582.32,1.78995,0.31309,0.19763,1.46562,1.71862,0.79092,0.56,0.63166,0.19022,0.94417,0.67663,0.85391,0.78206,2.16367,0.40196,0.06254,1.90327,2.15196,0.00190578,0.00190578,0.00190578
16,9100.67,1.74317,0.30158,0.20592,1.48932,1.70635,0.69733,0.76,0.71004,0.28505,0.84443,0.76,0.8744,0.83574,1.90803,0.30077,0.0194,1.41124,1.95053,0.0018921,0.0018921,0.0018921
